category1_code,category2_code,product_code,title,itemurl,imageurl,price,clean_title,title_length,image_path,label
FASHION,HANDBAGS,PAS4152B13455,Tweed & goldfarbenes Metall  Schwarz  Rosa & Bordeaux,https://www.chanel.com/de/mode/p/AS4152B13455NO249/kleine-pattentasche-tweed-goldfarbenes-metall/,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/mini-flap-bag-black-pink-burgundy-tweed-gold-tone-metal-tweed-gold-tone-metal-packshot-artistique-vue2-as4152b13455no249-9524212989982.jpg",5200.0,tweed & goldfarbenes metall  schwarz  rosa & bordeaux,53,images_cache/PAS4152B13455.jpg,17
EYEWEAR,BLUE LIGHT GLASSES,PA71441,Schwarz,https://www.chanel.com/de/brillen/p/A71441X08101S221254MOCCI/schmetterlingsbrille-mit-blaulichtfilter-schwarz/,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/butterfly-blue-light-glasses-black-acetate-acetate-packshot-default-a71441x08101s2212-8853207154718.jpg",420.0,schwarz,7,images_cache/PA71441.jpg,2
EYEWEAR,SUNGLASSES,PA71449,Silberfarben. Gläser: Braun  Mit Verlauf,https://www.chanel.com/de/brillen/p/A71449X09950L241361NUNI/quadratische-sonnenbrille-silberfarben/,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/square-sunglasses-silver-titanium-titanium-packshot-default-a71449x09950l2413-8853170782238.jpg",580.0,silberfarben. gläser: braun  mit verlauf,40,images_cache/PA71449.jpg,35
EYEWEAR,SUNGLASSES,PA71466,Blau & Rosa. Gläser: Grau  Mit Verlauf,https://www.chanel.com/de/brillen/p/A71466X01081S856100POCCI/umschliessende-sonnenbrille-blau-rosa/,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/shield-sunglasses-blue-pink-acetate-acetate-packshot-default-a71466x01081s8561-8850450087966.jpg",480.0,blau & rosa. gläser: grau  mit verlauf,38,images_cache/PA71466.jpg,35
EYEWEAR,SUNGLASSES,PA71481,Schwarz. Gläser: Grau  Mit Verlauf,https://www.chanel.com/de/brillen/p/A71481X02123S221652ROCCI/quadratische-sonnenbrille-schwarz/,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/square-sunglasses-black-acetate-calfskin-acetate-calfskin-packshot-default-a71481x02123s2216-8857337397278.jpg",620.0,schwarz. gläser: grau  mit verlauf,34,images_cache/PA71481.jpg,35
EYEWEAR,SUNGLASSES,PA71537,Rosa & Weiß. Gläser: Rosa,https://www.chanel.com/de/brillen/p/A71537X01060L374000PUNI/umschliessende-sonnenbrille-rosa-weiss/,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/shield-sunglasses-pink-white-metal-metal-packshot-default-a71537x01060l3740-9523160481822.jpg",550.0,rosa & weiß. gläser: rosa,25,images_cache/PA71537.jpg,35
EYEWEAR,SUNGLASSES,PA71560,Silberfarben. Gläser: Bordeaux,https://www.chanel.com/de/brillen/p/A71560X01060L250800PUNI/rechteckige-sonnenbrille-silberfarben/,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/rectangle-sunglasses-silver-metal-metal-packshot-default-a71560x01060l2508-9528856707102.jpg",440.0,silberfarben. gläser: bordeaux,30,images_cache/PA71560.jpg,35
JEWELRY,COCO CRUSH,PJ10864,Steppmotiv  kleines Modell  18 Karat Gelbgold  Diamanten,https://www.chanel.com/de/schmuck/p/J10864/coco-crush-ring/,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/coco-crush-ring-yellow-diamond-yellow-gold-packshot-default-j10864-9535026331678.jpg",5350.0,steppmotiv  kleines modell  18 karat gelbgold  diamanten,56,images_cache/PJ10864.jpg,9
EYEWEAR,EYEGLASSES,PA75192,Goldfarben,https://www.chanel.com/de/brillen/p/A75192X01060V339547RUNI/runde-korrekturfassung-goldfarben/,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/round-eyeglasses-gold-metal-metal-packshot-default-a75192x01060v3395-8853974581278.jpg",460.0,goldfarben,10,images_cache/PA75192.jpg,14
EYEWEAR,EYEGLASSES,PA75270,Schwarz,https://www.chanel.com/de/brillen/p/A75270X01081V362252NOCCI/quadratische-korrekturfassung-schwarz/,"https://res.cloudinary.com/dwayrkp5z/image/fetch/h_400,w_400,c_fill_pad,g_auto,e_trim/https://www.chanel.com/images//t_one/q_auto:good,f_auto,fl_lossy,dpr_1.1/w_620/square-eyeglasses-black-acetate-acetate-packshot-default-a75270x01081v3622-9518592950302.jpg",430.0,schwarz,7,images_cache/PA75270.jpg,14
